DateTime,City,State,Country,location,geocode,lat,long
2021-04-23 05:30:00,Hinesville,GA,USA,"Hinesville,GA,USA","(31.8315028, -81.6141099)",31.8315028,-81.6141099
2021-04-23 05:30:00,Hinesville,GA,USA,"Hinesville,GA,USA","(31.8315028, -81.6141099)",31.8315028,-81.6141099
2021-04-23 03:07:00,Mountlake Terrace,WA,USA,"Mountlake Terrace,WA,USA","(47.7881528, -122.3087405)",47.7881528,-122.3087405
2021-04-23 03:00:00,Tampa,FL,USA,"Tampa,FL,USA","(27.950575, -82.4571776)",27.950575,-82.4571776
2021-04-23 02:40:00,Firestone,CO,USA,"Firestone,CO,USA","(40.1124839, -104.9366436)",40.1124839,-104.9366436
2021-04-23 01:40:00,Star Valley,AZ,USA,"Star Valley,AZ,USA","(34.2550351, -111.2584672)",34.2550351,-111.2584672
2021-04-22 22:23:00,New York City (Brooklyn),NY,USA,"New York City (Brooklyn),NY,USA","(40.6781784, -73.9441579)",40.6781784,-73.9441579
2021-04-22 21:00:00,Firozabad (India),,India,"Firozabad (India),India","(27.1591961, 78.3957331)",27.1591961,78.3957331
2021-04-22 20:50:00,Appleton,WI,USA,"Appleton,WI,USA","(44.2619309, -88.41538469999999)",44.2619309,-88.41538469999999
2021-04-22 20:42:00,Dallas,GA,USA,"Dallas,GA,USA","(33.9244531, -84.8413056)",33.9244531,-84.8413056
2021-04-22 16:58:00,Kingman,AZ,USA,"Kingman,AZ,USA","(35.189443, -114.0530065)",35.189443,-114.0530065
2021-04-22 11:56:00,Crooked River Ranch,OR,USA,"Crooked River Ranch,OR,USA","(44.4245638, -121.2383729)",44.4245638,-121.2383729
2021-04-22 10:01:00,Pine City,NY,USA,"Pine City,NY,USA","(42.0367409, -76.8694036)",42.0367409,-76.8694036
2021-04-22 10:00:00,Surprise,AZ,USA,"Surprise,AZ,USA","(33.6292337, -112.3679279)",33.6292337,-112.3679279
2021-04-22 06:50:00,Bois des Filions,,Canada,"Bois des Filions,Canada","(45.6667418, -73.7567021)",45.6667418,-73.7567021
2021-04-22 05:32:00,Springfield,MO,USA,"Springfield,MO,USA","(37.2089572, -93.29229889999999)",37.2089572,-93.29229889999999
2021-04-22 03:35:00,Lacey,WA,USA,"Lacey,WA,USA","(47.0358969, -122.8232553)",47.0358969,-122.8232553
2021-04-22 00:00:00,Oregon City,OR,USA,"Oregon City,OR,USA","(45.3556099, -122.605853)",45.3556099,-122.605853
2021-04-21 21:30:00,Grandview Heights,OH,USA,"Grandview Heights,OH,USA","(39.9797863, -83.0407403)",39.9797863,-83.0407403
2021-04-21 21:25:00,Eatonton,GA,USA,"Eatonton,GA,USA","(33.3267997, -83.3884961)",33.3267997,-83.3884961
2021-04-21 17:00:00,Woodbridge,NJ,USA,"Woodbridge,NJ,USA","(40.5575986, -74.2846022)",40.5575986,-74.2846022
2021-04-21 10:57:00,Keene,NH,USA,"Keene,NH,USA","(42.933692, -72.2781409)",42.933692,-72.2781409
2021-04-21 07:24:00,Northbrook,IL,USA,"Northbrook,IL,USA","(42.1275267, -87.82895479999999)",42.1275267,-87.82895479999999
2021-04-21 05:31:00,Franklin,KY,USA,"Franklin,KY,USA","(36.7187855, -86.5785573)",36.7187855,-86.5785573
2021-04-21 04:47:00,Erie,PA,USA,"Erie,PA,USA","(42.12922409999999, -80.085059)",42.12922409999999,-80.085059
2021-04-21 04:30:00,Payson,AZ,USA,"Payson,AZ,USA","(34.2308684, -111.3251355)",34.2308684,-111.3251355
2021-04-20 23:43:00,Brier,WA,USA,"Brier,WA,USA","(47.7845419, -122.2742948)",47.7845419,-122.2742948
2021-04-20 23:00:00,Bridgton,ME,USA,"Bridgton,ME,USA","(44.0548021, -70.7128685)",44.0548021,-70.7128685
2021-04-20 21:48:00,Minneapolis,MN,USA,"Minneapolis,MN,USA","(44.977753, -93.2650108)",44.977753,-93.2650108
2021-04-20 21:44:00,Batesville and floral,AR,USA,"Batesville and floral,AR,USA","(35.58713, -91.7573243)",35.58713,-91.7573243
2021-04-20 21:30:00,Hartford,CT,USA,"Hartford,CT,USA","(41.7658043, -72.6733723)",41.7658043,-72.6733723
2021-04-20 21:15:00,Countryside,IL,USA,"Countryside,IL,USA","(41.766022, -87.87952299999999)",41.766022,-87.87952299999999
2021-04-20 21:00:00,Dublin,PA,USA,"Dublin,PA,USA","(40.3717714, -75.2015627)",40.3717714,-75.2015627
2021-04-20 20:30:00,New York City (Brooklyn),NY,USA,"New York City (Brooklyn),NY,USA","(40.6781784, -73.9441579)",40.6781784,-73.9441579
2021-04-20 15:25:00,Pine City,NY,USA,"Pine City,NY,USA","(42.0367409, -76.8694036)",42.0367409,-76.8694036
2021-04-20 13:44:00,Bremerton,WA,USA,"Bremerton,WA,USA","(47.5650067, -122.6269768)",47.5650067,-122.6269768
2021-04-20 11:09:00,St. Louis,MO,USA,"St. Louis,MO,USA","(38.6270025, -90.19940419999999)",38.6270025,-90.19940419999999
2021-04-20 06:20:00,Pompano Beach,FL,USA,"Pompano Beach,FL,USA","(26.2378597, -80.1247667)",26.2378597,-80.1247667
2021-04-20 06:02:00,San Mateo,CA,USA,"San Mateo,CA,USA","(37.5629917, -122.3255254)",37.5629917,-122.3255254
2021-04-20 04:52:00,Mountlake Terrace,WA,USA,"Mountlake Terrace,WA,USA","(47.7881528, -122.3087405)",47.7881528,-122.3087405
2021-04-19 22:00:00,Glen Oaks,NY,USA,"Glen Oaks,NY,USA","(40.7471504, -73.7118223)",40.7471504,-73.7118223
2021-04-19 21:29:00,Tulare,CA,USA,"Tulare,CA,USA","(36.2077288, -119.3473379)",36.2077288,-119.3473379
2021-04-19 20:30:00,West Chester,PA,USA,"West Chester,PA,USA","(39.9606643, -75.6054882)",39.9606643,-75.6054882
2021-04-19 20:12:00,Buffalo,NY,USA,"Buffalo,NY,USA","(42.88644679999999, -78.8783689)",42.88644679999999,-78.8783689
2021-04-19 20:04:00,Edmonds,WA,USA,"Edmonds,WA,USA","(47.8106521, -122.3773552)",47.8106521,-122.3773552
2021-04-19 16:51:00,Indianapolis,IN,USA,"Indianapolis,IN,USA","(39.768403, -86.158068)",39.768403,-86.158068
2021-04-19 15:29:00,Albuquerque,NM,USA,"Albuquerque,NM,USA","(35.0843859, -106.650422)",35.0843859,-106.650422
2021-04-19 14:49:00,Marietta,GA,USA,"Marietta,GA,USA","(33.95260200000001, -84.5499327)",33.95260200000001,-84.5499327
2021-04-19 14:32:00,Lees Summit,MO,USA,"Lees Summit,MO,USA","(38.9108408, -94.3821724)",38.9108408,-94.3821724
2021-04-19 00:45:00,Clarion,PA,USA,"Clarion,PA,USA","(41.2147851, -79.3853218)",41.2147851,-79.3853218
2021-04-19 00:25:00,Estes Park,CO,USA,"Estes Park,CO,USA","(40.3772059, -105.5216651)",40.3772059,-105.5216651
2021-04-18 22:15:00,Lafayette,CO,USA,"Lafayette,CO,USA","(39.9935959, -105.0897058)",39.9935959,-105.0897058
2021-04-18 22:05:00,Spanish Valley,UT,USA,"Spanish Valley,UT,USA","(38.4933172, -109.4584491)",38.4933172,-109.4584491
2021-04-18 21:30:00,Santa Fe,TX,USA,"Santa Fe,TX,USA","(29.3780129, -95.1057625)",29.3780129,-95.1057625
2021-04-18 21:08:00,Nanaimo (Canada),BC,Canada,"Nanaimo (Canada),BC,Canada","(49.1658836, -123.9400647)",49.1658836,-123.9400647
2021-04-18 20:00:00,Riverdale,UT,USA,"Riverdale,UT,USA","(41.1768888, -112.0038311)",41.1768888,-112.0038311
2021-04-18 17:52:00,Hollywood,FL,USA,"Hollywood,FL,USA","(26.0112014, -80.1494901)",26.0112014,-80.1494901
2021-04-18 16:47:00,Teaneck,NJ,USA,"Teaneck,NJ,USA","(40.8932469, -74.0116536)",40.8932469,-74.0116536
2021-04-18 14:03:00,Garrettsville,OH,USA,"Garrettsville,OH,USA","(41.2842224, -81.0964856)",41.2842224,-81.0964856
2021-04-18 04:20:00,Independence,KS,USA,"Independence,KS,USA","(37.2242358, -95.7083131)",37.2242358,-95.7083131
2021-04-17 21:45:00,Indianapolis,IN,USA,"Indianapolis,IN,USA","(39.768403, -86.158068)",39.768403,-86.158068
2021-04-17 20:25:00,Valdosta,GA,USA,"Valdosta,GA,USA","(30.8327022, -83.2784851)",30.8327022,-83.2784851
2021-04-17 08:00:00,Church Hill,TN,USA,"Church Hill,TN,USA","(36.5223207, -82.7134921)",36.5223207,-82.7134921
2021-04-17 06:21:00,Irmo,SC,USA,"Irmo,SC,USA","(34.0859829, -81.1831513)",34.0859829,-81.1831513
2021-04-17 03:00:00,Porter,OK,USA,"Porter,OK,USA","(35.8709334, -95.522476)",35.8709334,-95.522476
2021-04-17 00:00:00,Lexington,KY,USA,"Lexington,KY,USA","(38.0405837, -84.5037164)",38.0405837,-84.5037164
2021-04-16 23:15:00,Sanford,FL,USA,"Sanford,FL,USA","(28.8028612, -81.269453)",28.8028612,-81.269453
2021-04-16 22:49:00,Sanford,FL,USA,"Sanford,FL,USA","(28.8028612, -81.269453)",28.8028612,-81.269453
2021-04-16 21:50:00,Kent,WA,USA,"Kent,WA,USA","(47.3830671, -122.234771)",47.3830671,-122.234771
2021-04-16 21:48:00,Corona,CA,USA,"Corona,CA,USA","(33.8752935, -117.5664384)",33.8752935,-117.5664384
2021-04-16 19:00:00,Port Washington,WI,USA,"Port Washington,WI,USA","(43.3872247, -87.875644)",43.3872247,-87.875644
2021-04-16 16:00:00,Longview,WA,USA,"Longview,WA,USA","(46.1381676, -122.9381672)",46.1381676,-122.9381672
