DateTime,City,State,Country,location
2021-09-05 11:29:00,Malibu,CA,USA,"Malibu,CA,USA"
2021-09-05 09:30:00,Everett,MA,USA,"Everett,MA,USA"
2021-09-05 06:14:00,Royal Palm Beach,FL,USA,"Royal Palm Beach,FL,USA"
2021-09-05 04:54:00,Grand Junction,CO,USA,"Grand Junction,CO,USA"
2021-09-04 22:30:00,Pittsburgh,PA,USA,"Pittsburgh,PA,USA"
2021-09-04 21:00:00,Midlothian,VA,USA,"Midlothian,VA,USA"
2021-09-04 20:15:00,Baltimore,MD,USA,"Baltimore,MD,USA"
2021-09-04 19:20:00,grandview,MO,USA,"grandview,MO,USA"
2021-09-04 18:30:00,Dover,PA,USA,"Dover,PA,USA"
2021-09-04 18:13:00,Santa Claus,IN,USA,"Santa Claus,IN,USA"
2021-09-04 16:42:00,Hanover,MD,USA,"Hanover,MD,USA"
2021-09-04 15:53:00,Eads,TN,USA,"Eads,TN,USA"
2021-09-04 12:45:00,Rio Vista,CA,USA,"Rio Vista,CA,USA"
2021-09-04 10:31:00,Littlerock,AR,USA,"Littlerock,AR,USA"
2021-09-04 03:15:00,Bowie,MD,USA,"Bowie,MD,USA"
2021-09-04 01:00:00,Jacksonville,FL,USA,"Jacksonville,FL,USA"
2021-09-04 00:19:00,Elizabeth,CO,USA,"Elizabeth,CO,USA"
2021-09-04 00:00:00,Pepperell,MA,USA,"Pepperell,MA,USA"
2021-09-03 23:45:00,Mount Hope,WV,USA,"Mount Hope,WV,USA"
2021-09-03 23:30:00,Ontario (Canada),Ontario,Canada,"Ontario (Canada),Ontario,Canada"
2021-09-03 21:50:00,Hanover,PA,USA,"Hanover,PA,USA"
2021-09-03 21:44:00,Sterling,PA,USA,"Sterling,PA,USA"
2021-09-03 21:00:00,Black Hills Thurston County,WA,USA,"Black Hills Thurston County,WA,USA"
2021-09-03 20:45:00,Johnson City,TN,USA,"Johnson City,TN,USA"
2021-09-03 19:01:00,Star Valley,AZ,USA,"Star Valley,AZ,USA"
2021-09-03 19:00:00,Chicago,IL,USA,"Chicago,IL,USA"
2021-09-03 10:52:00,Watsonville,CA,USA,"Watsonville,CA,USA"
2021-09-03 08:31:00,Goshen,IN,USA,"Goshen,IN,USA"
2021-09-02 23:00:00,Pocatello,ID,USA,"Pocatello,ID,USA"
